Nodelist id,Nodelist name,from,Check1,to,Check2,Kommentar,Anleitung
JL,Juliët Lohuis,Lohuis,#N/A,Niederlande,#N/A,,"Die Werte aus der Edge- und Nodelist werden automatisch in die Überprüfungstabellen übertragen. In der Spalte Check werden automatisch die Einträge der beiden Spalten from und to der Edgelist mit den Einträgen der Nodelist auf Übereinstimmung abgeglichen. Fehlerhafte Übertragungen werden durch das #N/A (not availabe) markiert bzw. sind nicht grün hinterlegt. Prüfen Sie dann die Schreibweise in der from oder to Spalte. Achtung: wenn die Nodelist über zusätzliche Werte verfügt, die nicht in der Edgelist hinterlegt sind (in diesem Beispiel die ID ""Arc"" werden diese nicht angezeigt, weil wir nur prüfen, ob die from/to Spalten in der Nodelist auftauchen. Für den Abgleich der Node-IDs mit allen Edge-IDs müssten sie vorher alle Duplikate aus der Edgelist löschen und dann die Edge- und Nodelist miteinander abgleichen."
MT,Mira Todorova,Lohuis,#N/A,SU,#N/A,,
ET,Eline Timmerman,Lohuis,#N/A,TTP,#N/A,,
HK,Hannah Kohn,Lohuis,#N/A,EA,#N/A,Fehler Edgelist,
IV,Ilka Van de Vyver,Lohuis,#N/A,CA,#N/A,Fehler Nodelist,
JN,Julia Nowicka,Lohuis,#N/A,USCM,#N/A,,
SL,Simone Lee,Todorova,#N/A,Bulgarien,#N/A,,
MP,Maria Segura Pallerés,Todorova,#N/A,RCC,#N/A,Fehler Nodelist,
HJ,Hester Jasper,Todorova,#N/A,VLC,#N/A,Fehler Nodelist,
HD,Helena Dornheim,Todorova,#N/A,VZ,#N/A,,
KR,Krystal Rivers,Todorova,#N/A,LCVB,#N/A,,
LB,Lara Berger,Todorova,#N/A,SAP,#N/A,,
RK,Roosa Koskelo,Todorova,#N/A,CVM,#N/A,,
LG,Lena Grundt,Timmerman,#N/A,Niederlande,#N/A,,
Setup,Set-up '65,Timmerman,#N/A,TTP,#N/A,,Achtung
Eurosped,Eurosped Almelo,Timmerman,#N/A,AA,#N/A,,"Dies ist ein dynamisches Dokument, d.h. die Werte aus dem den Tabellenblättern Edgelist und Nodelist automatisch in das Prüfdokument übertragen. "
Coolen,Coolen Alterno,Timmerman,#N/A,ET,ET,,
USC,USC Münster,Timmerman,#N/A,LIBA,#N/A,,
RC,RC Cannes,Kohn,#N/A,Deutschland,#N/A,,
Volero,Volero Le Cannet,Kohn,#N/A,VFBU,Vfbu,,
Voleroz,Volero Zürich,Kohn,#N/A,OSPS,#N/A,,Verwendung
Le,Le Cannet Volley Ball,Kohn,#N/A,BSPS,#N/A,,"Am einfachsten können Sie das Dokument verwenden, in dem sie eine Kopie auf Google Tabellen, die Datei umbennen und für ihr Projektteam freigeben und überschreiben. Achten Sie darauf, dass die relativen und absoluten Bezüge der Tabellen bestehen bleiben, sonst funktioniert das Prüfdokument nicht mehr. Die Edge- und Nodelisten lassen sich als .csv Datei abspeichern und in github hochladen."
Smaesch,Sm'Aesch Pfeffingen,Vyver,#N/A,Belgien,#N/A,,
Vc,VC Maritza,Vyver,#N/A,AK,#N/A,,
Tp,Talentteam Papendal,Vyver,#N/A,RCC,#N/A,,
Alterno,Alterno Apeldoorn,Vyver,#N/A,IBF,#N/A,,
Eurospeedt,Eurosped Twente,Vyver,#N/A,CL,#N/A,,
Ladies,Ladies in Black Aachen,Vyver,#N/A,RRV,#N/A,,
Vfbu,VfB Ulm,Vyver,#N/A,CSMT,Csmt,,
Olympia,Olympiastützpunkt Stuttgart,Nowicka,#N/A,Polen,#N/A,,
Bundesstützpunkt,Bundesstützpunkt Stuttgart,Nowicka,#N/A,GBL,#N/A,,Dokument anpassen
Asterix,Asterix Kieldrecht,Nowicka,#N/A,BKSPCBB,#N/A,,"Das Dokument ist auf 4900 Zeilen angelegt. Wenn Ihr Dokument die Zeilenanzahl übersteigt, müssen Sie die Zeilenzahl in den Formeln von D:2 und F:2 entsprechend anpassen. =VLOOKUP(C2;$A$2:$A$4999;1;)"
Il,Il Bisonte Firenze,Nowicka,#N/A,KSPBU,#N/A,,
Calcit,Calcit Ljubljana,Nowicka,#N/A,SMSPZPSS,#N/A,,
Rote,Rote Raben Vilsbiburg,Lee,#N/A,USA,USA,,
Csmt,CSM Târgoviște,Lee,#N/A,KAF,#N/A,,
Grot,Grot Budowlani Łódź,Lee,#N/A,B,#N/A,,
Bksprofi,BKS Profi Credit Bielsko-Biała,Lee,#N/A,IVC,#N/A,,
Kspalac,KS Pałac Bydgoszcz U20,Lee,#N/A,PSU,#N/A,,
Sms,SMS PZPS Szczyrk,Palleres,#N/A,Spanien,#N/A,,
Kurobe,Kurobe AquaFairies,Palleres,#N/A,BVMB,#N/A,,
Bey,Beylikdüzü,Palleres,#N/A,DSC,#N/A,,
Imoco,Imoco Volley Conegliano,Palleres,#N/A,BSBC,#N/A,,
Penn,Penn State Univ.,Palleres,#N/A,STM,#N/A,,
Banca,Banca Valsabbina Millenium Brescia,Palleres,#N/A,DIT,#N/A,,
